Season,Name,Team,Age,G,GS,ADJ_GS,IP,ADJ_IP,Pitches,W,L,SV,BS,ER,ADJ_ER,ERA,WHIP,AVG,SO,ADJ_SO,K/9,BB,ADJ_BB,BB/9,HR,HR/9
2017,Austin Adams,WSN,26,6,0,0,5,5,131,0,0,0,0,2,2,3.6,2.4,0.2,10,10,18,8,8,14.4,0,0
2018,Austin Adams,WSN,27,2,0,0,1,1,24,0,0,0,0,0,0,0,4,0.25,0,0,0,3,3,27,0,0
2019,Austin Adams,- - -,28,30,2,2,32,32,541,2,2,0,2,14,14,3.94,1.13,0.177,53,53,14.91,16,16,4.5,4,1.13
2020,Austin Adams,SDP,29,3,0,0,4,10.8,74,0,0,0,0,2,5.4,4.5,1.25,0.2,7,18.9,15.75,2,5.4,4.5,1,2.25
2016,Blake Snell,TBR,23,19,19,19,89,89,1716,6,8,0,0,35,35,3.54,1.62,0.266,98,98,9.91,51,51,5.16,5,0.51
2017,Blake Snell,TBR,24,24,24,24,129.1,129.1,2278,5,7,0,0,58,58,4.04,1.33,0.232,119,119,8.28,59,59,4.11,15,1.04
2018,Blake Snell,TBR,25,31,31,31,180.2,180.2,2918,21,5,0,0,38,38,1.89,0.97,0.176,221,221,11.01,64,64,3.19,16,0.8
2019,Blake Snell,TBR,26,23,23,23,107,107,1891,6,8,0,0,51,51,4.29,1.27,0.24,147,147,12.36,40,40,3.36,14,1.18
2020,Blake Snell,TBR,27,11,11,29.7,50,135,872,4,2,0,0,18,48.6,3.24,1.2,0.227,63,170.1,11.34,18,48.6,3.24,10,1.8
2019,Chris Paddack,SDP,23,26,26,26,140.2,140.2,2280,9,7,0,0,52,52,3.33,0.98,0.202,153,153,9.79,31,31,1.98,23,1.47
2020,Chris Paddack,SDP,24,12,12,32.4,59,159.3,963,4,5,0,0,31,83.7,4.73,1.22,0.26,58,156.6,8.85,12,32.4,1.83,14,2.14
2009,Craig Stammen,WSN,25,19,19,19,105.2,105.2,1584,4,7,0,0,60,60,5.11,1.29,0.266,48,48,4.09,24,24,2.04,14,1.19
2010,Craig Stammen,WSN,26,35,19,19,128,128,2090,4,4,0,0,73,73,5.13,1.5,0.29,85,85,5.98,41,41,2.88,13,0.91
2011,Craig Stammen,WSN,27,7,0,0,10.1,10.1,149,1,1,0,0,1,1,0.87,0.68,0.088,12,12,10.45,4,4,3.48,0,0
2012,Craig Stammen,WSN,28,59,0,0,88.1,88.1,1386,6,1,1,1,23,23,2.34,1.2,0.211,87,87,8.86,36,36,3.67,7,0.71
2013,Craig Stammen,WSN,29,55,0,0,81.2,81.2,1280,7,6,0,1,25,25,2.76,1.29,0.252,79,79,8.71,27,27,2.98,4,0.44
2014,Craig Stammen,WSN,30,49,0,0,72.2,72.2,1135,4,5,0,0,31,31,3.84,1.27,0.272,56,56,6.94,14,14,1.73,5,0.62
2015,Craig Stammen,WSN,31,5,0,0,4,4,65,0,0,0,0,0,0,0,1.25,0.143,3,3,6.75,3,3,6.75,0,0
