Season,League,League,G,RS,RA,OBP,SLG,BA,OOBP,OSLG,W,Playoffs
2019,ARI,NL,162,813,743,0.323,0.434,0.252,0.32,0.432,85,0
2019,ATL,NL,162,855,743,0.336,0.452,0.258,0.329,0.419,97,1
2019,BAL,AL,162,729,981,0.31,0.415,0.246,0.342,0.497,54,0
2019,BOS,AL,162,901,828,0.34,0.466,0.269,0.33,0.431,84,0
2019,CHC,NL,162,814,717,0.331,0.452,0.252,0.323,0.414,84,0
2019,CHW,AL,162,708,832,0.314,0.414,0.261,0.337,0.452,72,0
2019,CIN,NL,162,701,711,0.315,0.422,0.244,0.31,0.41,75,0
2019,CLE,AL,162,769,657,0.323,0.432,0.25,0.304,0.419,93,0
2019,COL,NL,162,835,958,0.326,0.456,0.265,0.348,0.492,71,0
2019,DET,AL,162,582,915,0.294,0.388,0.24,0.342,0.478,47,0
2019,HOU,NL,162,920,640,0.352,0.495,0.274,0.283,0.397,107,1
2019,KCR,AL,162,691,869,0.309,0.401,0.247,0.348,0.456,59,0
2019,LAA,AL,162,769,868,0.324,0.422,0.247,0.331,0.459,72,0
2019,LAD,NL,162,886,613,0.338,0.472,0.257,0.282,0.379,106,1
2019,MIA,NL,162,615,808,0.298,0.375,0.241,0.329,0.435,57,0
2019,MIL,NL,162,769,766,0.329,0.438,0.246,0.321,0.425,89,1
2019,MIN,AL,162,939,754,0.338,0.494,0.27,0.316,0.419,101,1
2019,NYM,NL,162,791,737,0.328,0.442,0.257,0.317,0.418,86,0
2019,NYY,AL,162,943,739,0.339,0.49,0.267,0.314,0.439,103,1
2019,OAK,AL,162,845,680,0.327,0.448,0.249,0.308,0.404,97,1
2019,PHI,NL,162,774,794,0.319,0.427,0.246,0.332,0.453,81,0
2019,PIT,NL,162,758,911,0.321,0.42,0.265,0.343,0.47,69,0
2019,SDP,NL,162,682,789,0.308,0.41,0.238,0.315,0.43,70,0
2019,SEA,AL,162,758,893,0.316,0.424,0.237,0.326,0.469,68,0
2019,SFG,NL,162,678,773,0.302,0.392,0.239,0.318,0.428,77,0
2019,STL,NL,162,764,662,0.322,0.415,0.245,0.314,0.397,91,1
2019,TBR,AL,162,769,656,0.325,0.431,0.254,0.294,0.386,96,1
2019,TEX,AL,162,810,878,0.319,0.431,0.248,0.342,0.464,78,0
2019,TOR,AL,162,726,828,0.305,0.428,0.236,0.337,0.451,67,0
2019,WSN,NL,162,873,724,0.342,0.454,0.265,0.314,0.412,93,1
2018,ARI,NL,162,693,644,0.31,0.397,0.235,0.31,0.388,82,0
2018,ATL,NL,162,759,657,0.324,0.417,0.257,0.314,0.37,90,1
2018,BAL,AL,162,622,892,0.298,0.391,0.239,0.349,0.471,47,0
2018,BOS,AL,162,876,647,0.339,0.453,0.268,0.309,0.39,108,1
2018,CHC,NL,162,761,645,0.333,0.41,0.258,0.323,0.376,95,1
2018,CHW,AL,162,656,848,0.302,0.401,0.241,0.34,0.422,62,0
2018,CIN,NL,162,696,819,0.328,0.401,0.254,0.332,0.45,67,0
2018,CLE,AL,162,818,648,0.332,0.434,0.259,0.3,0.414,91,1
2018,COL,NL,162,780,745,0.322,0.435,0.256,0.319,0.417,91,1
2018,DET,AL,162,630,796,0.3,0.38,0.241,0.323,0.439,64,0
2018,HOU,NL,162,797,534,0.329,0.425,0.255,0.282,0.358,103,1
2018,KCR,AL,162,638,833,0.305,0.392,0.245,0.342,0.446,58,0
2018,LAA,AL,162,721,722,0.313,0.413,0.242,0.322,0.415,80,0
2018,LAD,NL,162,804,610,0.333,0.442,0.25,0.29,0.379,92,1
2018,MIA,NL,162,589,809,0.303,0.357,0.237,0.333,0.424,63,0
2018,MIL,NL,162,754,659,0.323,0.424,0.252,0.309,0.387,96,1
2018,MIN,AL,162,738,775,0.318,0.405,0.25,0.332,0.423,78,0
2018,NYM,NL,162,676,707,0.312,0.389,0.234,0.313,0.398,77,0
2018,NYY,AL,162,851,669,0.329,0.451,0.249,0.304,0.39,100,1
2018,OAK,AL,162,813,674,0.325,0.439,0.252,0.301,0.392,97,1
2018,PHI,NL,162,677,728,0.314,0.393,0.234,0.316,0.407,80,0
2018,PIT,NL,162,692,693,0.317,0.407,0.254,0.319,0.407,82,0
2018,SDP,NL,162,617,767,0.297,0.38,0.235,0.324,0.417,66,0
2018,SEA,AL,162,677,711,0.314,0.408,0.254,0.308,0.418,89,0
2018,SFG,NL,162,603,699,0.3,0.368,0.239,0.318,0.404,73,0
2018,STL,NL,162,759,691,0.321,0.409,0.249,0.324,0.378,88,0
2018,TBR,AL,162,716,646,0.333,0.406,0.258,0.3,0.377,90,0
2018,TEX,AL,162,737,848,0.318,0.404,0.24,0.335,0.464,67,0
2018,TOR,AL,162,709,832,0.312,0.427,0.244,0.335,0.446,73,0
2018,WSN,NL,162,771,682,0.335,0.419,0.254,0.311,0.411,82,0
2017,ARI,NL,162,812,659,0.329,0.445,0.254,0.309,0.398,93,1
2017,ATL,NL,162,732,821,0.326,0.412,0.263,0.339,0.438,72,0
2017,BAL,AL,162,743,841,0.312,0.435,0.26,0.342,0.458,75,0
2017,BOS,AL,162,785,668,0.329,0.407,0.258,0.306,0.406,93,1
2017,CHC,NL,162,822,695,0.338,0.437,0.255,0.315,0.398,92,1
2017,CHW,AL,162,706,820,0.314,0.417,0.256,0.337,0.45,67,0
2017,CIN,NL,162,753,869,0.329,0.433,0.253,0.345,0.465,68,0
2017,CLE,AL,162,818,564,0.339,0.449,0.263,0.294,0.38,102,1
2017,COL,NL,162,824,757,0.338,0.444,0.273,0.332,0.439,87,1
2017,DET,AL,162,735,894,0.324,0.424,0.258,0.348,0.463,64,0
2017,HOU,NL,162,896,700,0.346,0.478,0.282,0.313,0.407,101,1
2017,KCR,AL,162,702,791,0.311,0.42,0.259,0.331,0.434,80,0
2017,LAA,AL,162,710,709,0.315,0.397,0.243,0.314,0.429,80,0
2017,LAD,NL,162,770,580,0.334,0.437,0.249,0.29,0.38,104,1
2017,MIA,NL,162,778,822,0.331,0.431,0.267,0.344,0.432,77,0
2017,MIL,NL,162,732,697,0.322,0.429,0.249,0.326,0.414,86,0
2017,MIN,AL,162,815,788,0.334,0.434,0.26,0.33,0.446,85,1
2017,NYM,NL,162,735,863,0.32,0.434,0.25,0.345,0.448,70,0
2017,NYY,AL,162,858,660,0.339,0.447,0.262,0.298,0.382,91,1
2017,OAK,AL,162,739,826,0.319,0.436,0.246,0.327,0.439,75,0
2017,PHI,NL,162,690,782,0.315,0.409,0.25,0.333,0.447,66,0
2017,PIT,NL,162,668,731,0.318,0.386,0.244,0.33,0.431,75,0
2017,SDP,NL,162,604,816,0.299,0.393,0.234,0.333,0.441,71,0
2017,SEA,AL,162,750,772,0.325,0.424,0.259,0.318,0.435,78,0
2017,SFG,NL,162,639,776,0.309,0.38,0.249,0.331,0.438,64,0
2017,STL,NL,162,761,705,0.334,0.426,0.256,0.32,0.411,83,0
2017,TBR,AL,162,694,704,0.317,0.422,0.245,0.309,0.403,80,0
2017,TEX,AL,162,799,816,0.32,0.43,0.244,0.335,0.434,78,0
2017,TOR,AL,162,693,784,0.312,0.412,0.24,0.326,0.429,76,0
2017,WSN,NL,162,819,672,0.332,0.449,0.266,0.308,0.396,97,1
2016,ARI,NL,162,752,890,0.32,0.432,0.261,0.348,0.454,69,0
2016,ATL,NL,162,649,779,0.321,0.384,0.255,0.328,0.416,68,0
2016,BAL,AL,162,744,715,0.317,0.443,0.256,0.328,0.421,89,1
2016,BOS,AL,162,878,694,0.348,0.461,0.282,0.314,0.397,93,1
