Season,Name,Age,GS,IP,ADJ_IP,ERA,WHIP,AVG,K/9,BB/9
2017,Austin Adams,26,0,5,5,3.6,2.4,0.2,18,14.4
2018,Austin Adams,27,0,1,1,0,4,0.25,0,27
2019,Austin Adams,28,2,32,32,3.94,1.13,0.177,14.91,4.5
2020,Austin Adams,29,0,4,10.8,4.5,1.25,0.2,15.75,4.5
2009,Craig Stammen,25,19,105.2,105.2,5.11,1.29,0.266,4.09,2.04
2010,Craig Stammen,26,19,128,128,5.13,1.5,0.29,5.98,2.88
2011,Craig Stammen,27,0,10.1,10.1,0.87,0.68,0.088,10.45,3.48
2012,Craig Stammen,28,0,88.1,88.1,2.34,1.2,0.211,8.86,3.67
2013,Craig Stammen,29,0,81.2,81.2,2.76,1.29,0.252,8.71,2.98
2014,Craig Stammen,30,0,72.2,72.2,3.84,1.27,0.272,6.94,1.73
2015,Craig Stammen,31,0,4,4,0,1.25,0.143,6.75,6.75
2017,Craig Stammen,33,0,80.1,80.1,3.14,1.2,0.227,8.29,3.14
2018,Craig Stammen,34,0,79,79,2.73,1.04,0.219,10.03,1.94
2019,Craig Stammen,35,0,82,82,3.29,1.16,0.248,8.01,1.65
2020,Craig Stammen,36,0,24,64.8,5.63,1.29,0.273,7.5,1.5
2011,Drew Pomeranz,22,4,18.1,18.1,5.4,1.31,0.268,6.38,2.45
2012,Drew Pomeranz,23,22,96.2,96.2,4.93,1.48,0.253,7.73,4.28
2013,Drew Pomeranz,24,4,21.2,21.2,6.23,2.03,0.294,7.89,7.89
2014,Drew Pomeranz,25,10,69,69,2.35,1.12,0.203,8.35,3.39
2015,Drew Pomeranz,26,9,86,86,3.66,1.19,0.22,8.58,3.24
2016,Drew Pomeranz,27,30,170.2,170.2,3.32,1.18,0.215,9.81,3.43
2017,Drew Pomeranz,28,32,173.2,173.2,3.32,1.35,0.249,9.02,3.58
2018,Drew Pomeranz,29,11,74,74,6.08,1.77,0.294,8.03,5.35
2019,Drew Pomeranz,30,18,104,104,4.85,1.43,0.258,11.86,3.81
2020,Drew Pomeranz,31,0,18.2,49.14,1.45,1.02,0.143,13.98,4.82
2017,Emilio Pagan,26,0,50.1,50.1,3.22,0.93,0.209,10.01,1.43
2018,Emilio Pagan,27,0,62,62,4.35,1.19,0.229,9.15,2.76
2019,Emilio Pagan,28,0,70,70,2.31,0.83,0.178,12.34,1.67
2020,Emilio Pagan,29,0,22,59.4,4.5,1.05,0.179,9.41,3.68
2015,Keone Kela,22,0,60.1,60.1,2.39,1.16,0.231,10.14,2.69
2016,Keone Kela,23,0,34,34,6.09,1.38,0.231,11.91,4.5
2017,Keone Kela,24,0,38.2,38.2,2.79,0.91,0.135,11.87,3.96
2018,Keone Kela,25,0,52,52,3.29,1.1,0.197,11.42,3.29
2019,Keone Kela,26,0,29.2,29.2,2.12,1.01,0.178,10.01,3.34
2020,Keone Kela,27,0,2,5.4,4.5,2,0.333,13.5,4.5
2009,Mark Melancon,24,0,16.1,16.1,3.86,1.41,0.217,5.51,5.51
2010,Mark Melancon,25,0,21.1,21.1,4.22,1.27,0.235,9.28,3.38
2011,Mark Melancon,26,0,74.1,74.1,2.78,1.22,0.231,7.99,3.15
2012,Mark Melancon,27,0,45,45,6.2,1.27,0.251,8.2,2.4
2013,Mark Melancon,28,0,71,71,1.39,0.96,0.222,8.87,1.01
2014,Mark Melancon,29,0,71,71,1.9,0.87,0.194,9,1.39
2015,Mark Melancon,30,0,76.2,76.2,2.23,0.93,0.206,7.28,1.64
2016,Mark Melancon,31,0,71.1,71.1,1.64,0.9,0.202,8.2,1.51
2017,Mark Melancon,32,0,30,30,4.5,1.43,0.301,8.7,1.8
2018,Mark Melancon,33,0,39,39,3.23,1.59,0.302,7.15,3.23
2019,Mark Melancon,34,0,67.1,67.1,3.61,1.32,0.269,9.09,2.41
2020,Mark Melancon,35,0,22.2,59.94,2.78,1.28,0.256,5.56,2.78
2017,Miguel Diaz,22,3,41.2,41.2,7.34,1.66,0.268,7.13,5.4
2018,Miguel Diaz,23,0,18.2,18.2,4.82,1.5,0.219,14.46,5.79
2019,Miguel Diaz,24,0,6.1,6.1,7.11,1.58,0.346,5.68,1.42
2020,Nabil Crismatt,25,0,8.1,21.87,3.24,0.84,0.2,8.64,1.08
2019,Nick Ramirez,29,0,79.2,79.2,4.07,1.39,0.244,8.36,3.95
2020,Nick Ramirez,30,0,10.2,27.54,5.91,1.13,0.195,9.28,3.38
2017,Pierce Johnson,26,0,1,1,0,3,0.333,18,9
2018,Pierce Johnson,27,0,43.2,43.2,5.56,1.37,0.232,7.42,4.53
2020,Pierce Johnson,29,0,20,54,2.7,1.2,0.211,12.15,4.05
2018,Tim Hill,28,0,45.2,45.2,4.53,1.31,0.253,8.28,2.76
2019,Tim Hill,29,0,39.2,39.2,3.63,1.11,0.215,8.85,2.95
2020,Tim Hill,30,0,18,48.6,4.5,1.28,0.239,10,3
